Parameter,Time,Value,Global
F0,0.03731343283582089,150.28248587570621,False
F0,0.08208955223880597,147.45762711864407,False
F0,0.12686567164179105,138.9830508474576,False
F0,0.17164179104477612,130.50847457627117,False
F0,0.21641791044776118,122.03389830508473,False
F0,0.26119402985074625,168.64406779661016,False
F0,0.30597014925373134,168.64406779661016,False
F0,0.35074626865671643,168.64406779661016,False
F0,0.39552238805970147,168.64406779661016,False
F0,0.4525155730655253,167.2316384180791,False
F0,0.49751172451411835,167.2316384180791,False
F0,0.5425078759627114,167.2316384180791,False
F0,0.5875040274113044,167.2316384180791,False
F0,0.6325001788598974,167.2316384180791,False
F0,0.6774963303084904,167.2316384180791,False
F0,0.7224924817570835,167.2316384180791,False
F0,0.7674886332056765,167.2316384180791,False
F0,0.8124847846542694,181.35593220338984,False
F0,0.8574809361028625,181.35593220338984,False
F0,0.9024770875514555,181.35593220338984,False
F0,0.9474732390000485,181.35593220338984,False
F0,0.9924693904486415,181.35593220338984,False
F0,1.0374655418972345,181.35593220338984,False
F0,1.0824616933458275,181.35593220338984,False
F0,1.1567164179104477,170.05649717514123,False
F0,1.208955223880597,161.5819209039548,False
F0,1.2537313432835822,154.51977401129943,False
F0,1.2985074626865671,150.28248587570621,False
F0,1.3432835820895521,144.63276836158192,False
F0,1.3880597014925373,138.9830508474576,False
F0,1.4328358208955223,134.7457627118644,False
F0,1.4850746268656716,133.33333333333331,False
F0,1.5298507462686566,130.50847457627117,False
F0,1.5746268656716418,129.0960451977401,False
F0,1.6194029850746268,124.85875706214688,False
F0,1.6940298507462686,116.38418079096044,False
F0,1.7388059701492538,113.5593220338983,False
F0,1.8173988336728468,164.40677966101694,False
F0,1.8623949851214396,164.40677966101694,False
F0,1.9073911365700327,164.40677966101694,False
F0,1.9523872880186257,162.99435028248587,False
F0,1.9973834394672187,161.5819209039548,False
AV,0.0,200.0,False
AV,0.01,200.0,False
AV,0.02,200.0,False
AV,0.03,200.0,False
AV,0.04,200.0,False
AV,0.05,200.0,False
AV,0.06,200.0,False
AV,0.07,200.0,False
AV,0.08,200.0,False
AV,0.09,200.0,False
AV,0.1,200.0,False
AV,0.11,200.0,False
AV,0.12,200.0,False
AV,0.13,200.0,False
AV,0.14,200.0,False
AV,0.15,200.0,False
AV,0.16,200.0,False
AV,0.17,200.0,False
AV,0.18,200.0,False
AV,0.19,200.0,False
AV,0.2,200.0,False
AV,0.21,200.0,False
AV,0.22,200.0,False
AV,0.23,200.0,False
AV,0.24,200.0,False
AV,0.25,200.0,False
AV,0.26,200.0,False
AV,0.27,200.0,False
AV,0.28,200.0,False
AV,0.29,200.0,False
AV,0.3,200.0,False
AV,0.31,200.0,False
AV,0.32,200.0,False
AV,0.33,200.0,False
AV,0.34,200.0,False
AV,0.35000000000000003,200.0,False
AV,0.36,200.0,False
AV,0.37,200.0,False
AV,0.38,200.0,False
AV,0.39,200.0,False
AV,0.4,200.0,False
AV,0.41000000000000003,200.0,False
AV,0.42,200.0,False
AV,0.43,200.0,False
AV,0.44,200.0,False
AV,0.45,200.0,False
AV,0.46,200.0,False
AV,0.47000000000000003,200.0,False
AV,0.48,200.0,False
AV,0.49,200.0,False
AV,0.5,200.0,False
AV,0.51,200.0,False
AV,0.52,200.0,False
AV,0.53,200.0,False
AV,0.54,200.0,False
AV,0.55,200.0,False
AV,0.56,200.0,False
AV,0.5700000000000001,200.0,False
AV,0.58,200.0,False
AV,0.59,200.0,False
AV,0.6,200.0,False
AV,0.61,200.0,False
AV,0.62,200.0,False
AV,0.63,200.0,False
AV,0.64,200.0,False
AV,0.65,200.0,False
AV,0.66,200.0,False
AV,0.67,200.0,False
AV,0.68,200.0,False
AV,0.6900000000000001,200.0,False
AV,0.7000000000000001,200.0,False
AV,0.71,200.0,False
AV,0.72,200.0,False
AV,0.73,200.0,False
AV,0.74,200.0,False
AV,0.75,200.0,False
AV,0.76,200.0,False
AV,0.77,200.0,False
AV,0.78,200.0,False
AV,0.79,200.0,False
AV,0.8,200.0,False
AV,0.81,200.0,False
AV,0.8200000000000001,200.0,False
AV,0.8300000000000001,200.0,False
AV,0.84,200.0,False
AV,0.85,200.0,False
AV,0.86,200.0,False
AV,0.87,200.0,False
AV,0.88,200.0,False
AV,0.89,200.0,False
AV,0.9,200.0,False
AV,0.91,200.0,False
AV,0.92,200.0,False
AV,0.93,200.0,False
AV,0.9400000000000001,200.0,False
AV,0.9500000000000001,200.0,False
AV,0.96,200.0,False
AV,0.97,200.0,False
AV,0.98,200.0,False
AV,0.99,200.0,False
AV,1.0,200.0,False
AV,1.01,200.0,False
