Parameter,Time,Value,Global
F0,0.0029688862935262073,70.33898305084745,False
F0,0.04314406057185838,68.64406779661016,False
F0,0.08331923485019066,66.94915254237287,False
F0,0.12349440912852283,65.25423728813558,False
F0,0.1636695834068551,64.40677966101694,False
F0,0.21388855125477035,62.711864406779654,False
F0,0.2540637255331025,61.86440677966101,False
F0,0.2942388998114348,61.86440677966101,False
F0,0.334414074089767,60.16949152542372,False
F0,0.37458924836809926,59.32203389830508,False
F0,0.41476442264643143,58.474576271186436,False
F0,0.4549395969247636,74.57627118644066,False
F0,0.4951147712030959,77.1186440677966,False
F0,0.535289945481428,77.1186440677966,False
F0,0.5754651197597602,77.1186440677966,False
F0,0.6156402940380925,77.1186440677966,False
F0,0.6558154683164248,77.1186440677966,False
F0,0.6959906425947571,77.1186440677966,False
F0,0.7361658168730891,77.1186440677966,False
F0,0.7763409911514214,77.1186440677966,False
F0,0.8366037525689198,69.4915254237288,False
F0,0.8767789268472519,68.64406779661016,False
F0,0.9269978946951671,68.64406779661016,False
F0,0.9772168625430826,68.64406779661016,False
F0,1.0173920368214147,67.79661016949152,False
F0,1.057567211099747,67.79661016949152,False
F0,1.0977423853780792,67.79661016949152,False
F0,1.1379175596564113,67.79661016949152,False
F0,1.1780927339347436,71.18644067796609,False
F0,1.2182679082130758,77.96610169491524,False
F0,1.2584430824914081,77.1186440677966,False
F0,1.2986182567697402,75.42372881355931,False
F0,1.3387934310480725,73.72881355932202,False
F0,1.3789686053264048,71.18644067796609,False
F0,1.4191437796047368,68.64406779661016,False
F0,1.459318953883069,66.10169491525423,False
F0,1.4994941281614014,63.5593220338983,False
F0,1.5396693024397337,61.01694915254237,False
F0,1.5798444767180657,55.932203389830505,False
F0,1.630063444565981,66.94915254237287,False
F0,1.6702386188443132,66.94915254237287,False
F0,1.7104137931226455,66.94915254237287,False
F0,1.7606327609705608,66.94915254237287,False
F0,1.820895522388059,66.94915254237287,False
F0,1.8811582838055576,66.94915254237287,False
F0,1.9213334580838894,66.94915254237287,False
F0,1.9615086323622217,66.94915254237287,False
AV,0,200.0,True
Jitter,0,0.1,True
Shimmer,0,0.01,True
SHR,0.0,0.8,False
SHR,2.0,0.8,False
HNR,0,40.0,True
Slope,0,-10.0,True
H1H2,0,-10.0,True
F1,0.0,730.0,False
F1,0.01,730.0,False
F1,0.02,730.0,False
F1,0.03,730.0,False
F1,0.04,730.0,False
F1,0.05,730.0,False
F1,0.06,730.0,False
F1,0.07,730.0,False
F1,0.08,730.0,False
F1,0.09,730.0,False
F1,0.1,730.0,False
F1,0.11,730.0,False
F1,0.12,730.0,False
F1,0.13,730.0,False
F1,0.14,730.0,False
F1,0.15,730.0,False
F1,0.16,730.0,False
F1,0.17,730.0,False
F1,0.18,730.0,False
F1,0.19,730.0,False
F1,0.2,730.0,False
F1,0.21,730.0,False
F1,0.22,730.0,False
F1,0.23,730.0,False
F1,0.24,730.0,False
F1,0.25,730.0,False
F1,0.26,730.0,False
F1,0.27,730.0,False
F1,0.28,730.0,False
F1,0.29,730.0,False
F1,0.3,730.0,False
F1,0.31,730.0,False
F1,0.32,730.0,False
F1,0.33,730.0,False
F1,0.34,720.6122448979593,False
F1,0.35000000000000003,701.8367346938776,False
