Parameter,Time,Value,Global
F0,0,71.1864406779661,False
F0,0.05689125735925005,67.79661016949153,False
F0,0.1071102252071654,66.10169491525424,False
F0,0.14728539948549768,66.10169491525424,False
F0,0.18746057376382996,66.10169491525424,False
F0,0.22763574804216224,64.40677966101696,False
F0,0.2678109223204945,63.55932203389831,False
F0,0.3079860965988268,62.71186440677967,False
F0,0.3481612708771591,61.01694915254238,False
F0,0.38833644515549137,59.322033898305094,False
F0,0.42851161943382365,57.62711864406781,False
F0,0.46868679371215594,71.1864406779661,False
F0,0.5088619679904882,73.72881355932203,False
F0,0.5490371422688204,74.57627118644068,False
F0,0.5892123165471527,75.42372881355934,False
F0,0.629387490825485,76.27118644067798,False
F0,0.6695626651038172,76.27118644067798,False
F0,0.7197816329517327,76.27118644067798,False
F0,0.7700006007996482,76.27118644067798,False
F0,0.8101757750779804,81.35593220338984,False
F0,0.8503509493563127,84.74576271186442,False
F0,0.890526123634645,84.74576271186442,False
F0,0.9307012979129773,85.59322033898306,False
F0,0.9708764721913096,85.59322033898306,False
F0,1.011051646469642,85.59322033898306,False
F0,1.0512268207479742,85.59322033898306,False
F0,1.0914019950263065,83.05084745762713,False
F0,1.1315771693046388,79.66101694915255,False
F0,1.171752343582971,76.27118644067798,False
F0,1.2119275178613034,74.57627118644068,False
F0,1.2521026921396357,71.1864406779661,False
F0,1.292277866417968,69.49152542372882,False
F0,1.3324530406963002,66.94915254237289,False
F0,1.3726282149746325,66.10169491525424,False
F0,1.4128033892529648,63.55932203389831,False
F0,1.452978563531297,62.71186440677967,False
F0,1.4931537378096293,61.01694915254238,False
F0,1.5333289120879616,59.322033898305094,False
F0,1.573504086366294,59.322033898305094,False
F0,1.6136792606446262,57.62711864406781,False
F0,1.6538544349229585,56.77966101694916,False
F0,1.6940296092012908,55.93220338983052,False
F0,1.734204783479623,55.93220338983052,False
F0,1.7743799577579553,55.084745762711876,False
F0,1.8145551320362876,54.23728813559323,False
F0,1.8547303063146199,67.79661016949153,False
F0,1.8949054805929522,68.64406779661017,False
F0,1.9350806548712844,68.64406779661017,False
F0,1.9752558291496167,69.49152542372882,False
AV,0.0,200.0,False
AV,0.01,200.0,False
AV,0.02,200.0,False
AV,0.03,200.0,False
AV,0.04,200.0,False
AV,0.05,200.0,False
AV,0.06,200.0,False
AV,0.07,200.0,False
AV,0.08,200.0,False
AV,0.09,200.0,False
